text,Tense,Aspect,Subject Person,Ving
"my wife ? Yeah . Holy bleep . Have we kissed yet ?!!!!!Keep eating your cracker_ . Oh , it 's hard . It 's hard baby . It 's hard . Do we call each other baby ? How long have we been married ? A long time . Oh my God . I hit the j",present,continuative,2nd,eat
"ke it , shake it , shake it . Make it , shake it .!!!!!Keep shaking it while_ you 're making it . Shake it while you make it . And you know the-- the shakers-- Shake , shake , shake , shake , shake , shake , shake , shake , sha",present,ambiguous,2nd,shake
"n percent in 2012 . One online travel company that!!!!!keeps picking up users_ is Kayak . Two months ago Priceline bought the website for 1.8 billon dollars . Kayak company founders , Steve Hafner and Paul English are here this",present,iterative,3rd,pick up
"at St. Luke 's . Yet you went off to Somerset and!!!!!kept doing exactly the_ same things . And it looks like , to me , that you wanted to get caught . I do n't know . You do n't know ? Because , you know , you 're right . I me",past,ambiguous,2nd,do
the individual mandate or whatever . The ball has!!!!!kept moving . The_ American people do n't know what this fight is about . They 're not going to get their way . The Republicans went into a fight they could not win . E,past,iterative,3rd,move
"he Zapruders for one dollar . Did your grandfather!!!!!keep taking home movies_ after that ? No. After that tragedy , somehow I lost--I do n't know what you call it--appetite or desire to take pictures . Abraham Zapruder died of",past,iterative,3rd,take
"was also trying to hold on to his job so he could!!!!!keep running the country_ and the question was , how would he put his later acknowledged mistake with Lewinsky behind him ? Right . Well , the way to do it we decided back the",past,continuative,3rd,run
"omedians across the country -- He 's the gift that!!!!!keeps giving . He_ is . And the last name and what he 's done . honestly , I do n't think the people of New York want a punch line as their mayor . it would be very har",present,iterative,3rd,give
"s are very happy . This is going to be a gift that!!!!!keeps giving . Headline_ of this written themselves for a year , thank you Mr. Weiner . OBEIDALLAH : But he stumbled right out of the gate . He should n't have done a YouTube",present,iterative,3rd,give
"rdered . Yes , right . Mark ? And I hate that they!!!!!keep bringing up all_ these other aspects of what happened . Mark , you 've been saying that from the beginning . Yes . I 'm only smiling because jenny always holds back h",present,iterative,3rd,bring up
"about your sex life . And I 'm wondering what you!!!!!kept telling yourself so_ that you would n't react . Now , I want to know where you got that lack of reaction which actually made you a lot more credible , at least here in th",past,iterative,2nd,tell
"rdered . Yes , right . Mark ? And I hate that they!!!!!keep bringing up all_ you 've been saying that from the beginning . , -ATT# Yes . I 'm only smiling because Jenny always holds back how she truly feels . Let it out , Jen.",present,iterative,3rd,bring up
"s a sympathetic light . The idea of the prosecutor!!!!!kept calling him a_ wannabe cop , and O'Mara said that 's a good thing to wannabe , it 's actually an honorable profession . He is trying to be in and there 's nothing w",past,iterative,3rd,call
"eed to change their setting so they do n't have to!!!!!keep unlocking . Yes_ . Let it stay open for maybe three minutes or so . Maybe our producer Nora does that because Nora is always on her phone . She 's always informed , b",present,iterative,3rd,unlock
"ibutes to movies and do n't ask me , I 'm going to!!!!!keep making them ,_ I do n't care what you think ? I 'm not sure he was making , I did n't hear him make a point . If I heard him make a point I would say , yes . He doe",future,iterative,1st,make
"and the debris , and the circulation on the ground!!!!!kept getting larger ._ So , we had to bail south and get actually west of the tornado and as we are going southwest of it as it is moving away to our northeast , you could",past,ambiguous,3rd,get adj
"rring to this -- this is not a war . I mean -- you!!!!!keep saying -- I_ mentioned these -- obviously we when we went into Iran to save the hostages , that was n't a war either . That 's right . What is it ? When one of ou",present,iterative,2nd,say
"ese 2010 , I thought : You know , I do n't have to!!!!!keep doing this ._ There is an openly gay voice in the House of Bishops , and is there something else that I would really like to do and perhaps that God is calling me",present,continuative,1st,do
"was the classic five loaves of bread day , where I!!!!!kept going out and_ buying bread because I put it in the wrong place , and I forgot I bought it . I ca n't remember what I say to people . And does it change your sense",past,iterative,1st,go out
"ep his mouth shut , but he kept his eyes open . He!!!!!kept cataloguing everything he_ saw . And the culmination of this was on February 8 , 1968 , his unit rolled into a very small hamlet , and the commanding officer , a West Point-tra",past,iterative,3rd,catalog
st really hates Walt at this point because he just!!!!!keeps getting deeper and_ deeper into the meth business and into his gangster self . And she thinks that even though he feels secure and that they 're safe that they are not t,present,iterative,3rd,get adj
"sight of that . But it 's the prosecutor 's job to!!!!!keep reminding everybody that_ this young kid did n't have a gun and he was shot down . So , you know , no prosecution , no investigation is perfect , so you always have to play th",present,iterative,3rd,remind
". Like I wanted him to get away from us . And so I!!!!!kept yelling at him_ , you know , move , would n't , right , because he was so transfixed , by the female dog . And so that 's when I - you know , I hit him . I lifted my",past,iterative,1st,yell
"foresee a situation , a scenario where this could!!!!!keep dragging out ,_ and at some point the president has made it clear that he would act even without Congress ' support . I mean , he made that clear in his speech . And",present,continuative,3rd,drag out
"Something is n't quite going right . that when you!!!!!keep cutting down the_ number of airlines , you 're eliminating competition . And when you eliminate competition , the prices are going to rise . Right now , the airlines h",present,iterative,2nd,cut down
mployees of American who pushed for the merger and!!!!!kept pushing for the_ merger . They did n't want American to come out as a stand-alone and they did n't want to continue working with the current management team . So that,past,continuative,3rd,push
"ted this one . But Democrats said that Republicans!!!!!kept piling on other_ amendments that they did n't like , amendments that required more work requirements to get food stamps , in some cases drug testing to get food stamp",past,iterative,3rd,pile on
". Obama is the Thomas Edison of socialism that he!!!!!keeps inventing new ways_ to transfer the wealth . In this case , it 's health redistribution . It 's moving health redistribution that was originally paid to people like me w",present,iterative,3rd,invent
"ight ? I have a bunch stacked away somewhere . You!!!!!keep bringing yours out_ ? No , no , no -- They 're displayed . They 're locked away . I 'm proud of those , too . Damn right , I agree with you. A lot of work , a lot of har",present,iterative,2nd,bring out
"ream , a dream that the media are all too happy to!!!!!keep revisiting . Ahead_ on MEDIA BUZZ , Amazon launches a new Garry Trudeau series online . Is this where TV is headed ? How much can we gorge on at once ? Time now for our",present,iterative,3rd,revisit
"he tax system that 's been put together . When you!!!!!keep talking about 47_ percent of the people do n't pay taxes , 46 or 44 , whatever it is . Then , that I suppose you could I do n't believe that 's part of the welfare sys",present,iterative,2nd,talk
the future generations to sit here and take it and!!!!!keep adding on to_ the debt and more entitlement and more programs and unfairly taxing people who are trying to work hard . The vast majority of the country is in favor,present,iterative,3rd,add
"ion , probably not . When we come back , the media!!!!!keep comparing ObamaCare to_ Hurricane Katrina . Is that offensive ? ObamaCare may be a bit of a disaster . But there 's a bit of a backlash brewing against media folks comparing",present,iterative,3rd,compare
"p and not the other way around , you might need to!!!!!keep looking "" (_ p. 53 ) . Remember , when trying to decide on an app , always keep in mind the purpose . Some apps may be good , just not appropriate to the students",present,continuative,2nd,look
"how it happened , and explains , "" I figured if we!!!!!kept plugging holes until_ the quarry reopened we 'd be okay . "" Mike mentions the offer of a free one-hour consultation with a financial planner , and they go to see him . The",past,iterative,1st,plug
"y , though . As I put my clothes in my dresser , I!!!!!kept expecting him to_ walk into the room and I had trouble accepting the fact that it was impossible . I missed our weekly phone calls and knowing he was only a few hours",past,continuative,1st,expect
"over me during the procedurethat was what they had!!!!!kept calling it ,_ "" the procedure . "" The expression in her eyes was hard to parse ; it was not pity , but it was not judgment either . There was no overt emotion , an",past,iterative,3rd,call
"lt any worse than the last one . "" You 'll have to!!!!!keep taking it slow_ and easy , "" he murmured as he took another small swallow of watered lager and waited for the mist and frost to clear . Section by section , over the",future,ambiguous,2nd,take
"rt , then put her phone back in her pocket . "" Who!!!!!keeps blowing your shit_ up ? "" Baby Girl said . "" I do n't even know him . "" Perry 's stepdad , Jim , was a prison guard . A quiet guy who seemed as big as a standing bear .",present,iterative,3rd,blow up
"but be quick . It 's getting dark , and we need to!!!!!keep looking . ""_ There were more shouts from the other men of the party , but Tucker did n't hear Bick 's powerful , controlled baritone among them . Looking at the b",present,continuative,1st,look
"ail . I told myself I was almost there . A lie . I!!!!!kept going . There_ were three bedrooms and a bath on the second floor . My intention , halfway up the stairs , had been to open the landing I thought that maybe I 'd wa",past,continuative,1st,go
"g to say , or helpful , but there you had it . She!!!!!kept braking for animals_ in the road , but there was nothing there . "" You just learn to drive , Leeds ? "" he said . "" You 'll lower your gas mileage like that . "" She helped",past,iterative,3rd,brake
"ther , my Uncle Frank , in Atlantic City -- that I!!!!!kept expecting those people_ to morph into my relatives . "" That 's Lefty 's car ! "" Little Paulie was running down the stairs . "" You stole Lefty 's car ? "" "" Borrowed it , "" I",past,continuative,1st,expect
"m e w h e n I started to cry . I figured I 'd just!!!!!keep going -- it_ was n't the first time this had happened that summer , these humiliating bawling jags coming on out of nowhere , at work or in line at c v s -- b u t",past,continuative,1st,go
"uddenly . "" Now that all this happened , everybody!!!!!keeps saying what a_ good guy he was , but ... ? "" That confused me , and annoyed me a little , too -- like she was trying to act like she knew stuff , like she was more",present,iterative,3rd,say
"jean jacket , though outside it was warm . And she!!!!!kept telling the boys_ how m uch they 'd grown in the two months . "" Look at you . Just look at you , "" she said in the doorway . They had n't gone to see her like Libby ha",past,iterative,3rd,tell
"ng but no m atter how hard I gripped , blood still!!!!!kept welling up from_ beneath it and between my fingers . All the cats were growling and howling , and the customers were yammering excitedly to one another . The confusio",past,continuative,3rd,well up
"aid to me -- I could n't get it out of my mind , I!!!!!kept thinking it over_ for days . I saw then the harm in my deceiving her and never coming clean about anything -- she had no idea about how I 'd felt cause I had n't ever",past,iterative,1st,think over
"Not yet . Rub her a little and see if that works .!!!!!Keep kissing her ,_ though , so she does n't feel embarrassed . Kiss . Rub . Kiss . Rub . Repeat . . . Before you realize it , you have been dating Myra for over two yea",present,ambiguous,2nd,kiss
Ben thought that they were some kind of spell and!!!!!kept saying them together_ and running them into each other and laughing . He never figured out that they meant last and next to last and next to the next to last . He said tha,past,iterative,3rd,say
"d . Shot from the air by a strafing ace . Her eyes!!!!!kept moving along the_ page , her mind making out the words , but she was seeing onrushing shadow of the plane . And there w ent her phone again , ringing , ringing . The G",past,ambiguous,3rd,move
"est Review down I 'll fall off , so I just have to!!!!!keep doing it ._ After what seems like an hour but is probably just sixty seconds of this absurd watersports shit , the horse still we go around in an extra-wide arc",present,ambiguous,1st,do
"t even after you get your trident , you 've got to!!!!!keep wanting it ,_ every day . I took this billet because Alice wanted me to . I ' d rather be out with my boys , knock ing down doors and rolling up bad guys in some s",present,continuative,2nd,want
"ts loud when the cashier tells her it 's expired ,!!!!!keeps asking the girl_ if she speaks English . I have to get back to the office . "" So , I 'll text you , "" I say as I stand . "" OK , "" Sophie says . She stands too . "" And",present,iterative,3rd,ask
"e red dirt creeping up her legs and neck , but she!!!!!kept watching him and_ she saw that he was happy , content . He spoke this language she did n't know and the people around him understood and spoke back . Once he laughed a",past,continuative,3rd,watch
"it to Sunny ' s lips . Sunny took a deep drag and!!!!!kept sucking the smoke_ back in . Norah had never seen her smoke before . When Sunny saw Lucinda and Norah watching , she broke away from Rex and came to them . She leaned c",past,continuative,3rd,suck in
"choosing which archway he would pass through . He!!!!!kept looking from one_ to another of two vistas : a great garden full of bowers and bosky dells , the trees dome with a tumbling river and damsels playing stringed instrume",past,iterative,3rd,look
"ay curl came loose and fell over his eye . But she!!!!!kept going . ""_ Because you do n't have to . I know it 's my fault . "" He smiled at her then . He had a way of grinning , slightly openmouthed , so you could see his",past,continuative,3rd,go
"olony for being so perfectly self destructive . He!!!!!keeps yelling at people_ in his head . As he passes the geyser , it seems totally inert , a dry depression , but it could blow without warning . He keeps walking , the sun in",present,iterative,3rd,yell
"ds flocked between his palms . The whole time , he!!!!!kept glancing at Mindy_ . He 'd wink , shuffle , smirk . Despite his irritation at the $40 setback ( $60 for standard massage , $40 tip for extras ) , Stone was awed . "" Jus",past,iterative,3rd,glance
"cat , on whatever Bill was planning for Tabby . I!!!!!kept imagining the worst_ , wondering if I was meant to act like Harvey Keitel 's Cleaner character in Pulp Fiction . It seemed important to tell Bill where I drew the line .",past,iterative,1st,imagine
"op of the skirt . "" It was an old dress , "" Tillie!!!!!kept saying as St._ John walked her home , holding on to her arm . Each week St. John had money coming in from Laurie and from the mine . When Tillie woke in the morning",past,continuative,3rd,say
"all three of us could tell was just a stutter . He!!!!!kept going . He_ did it again , and I started to put pressure on the trigger . The man looked frightened . He could n't understand what we wanted him to do . the way",past,continuative,3rd,go
""" "" I know , "" Louisa said . "" Why do you think I!!!!!keep telling you to_ think twice before going to visit Matthew ? "" "" Vasiliki said I could take time off to visit him -- she said she would hold my job . "" "" Well , that",present,iterative,1st,tell
"as incontinent . The orderlies were too harried to!!!!!keep turning him in_ bed ; he had huge bed sores on his back . She washed him every day , massaged his feet , fed him with a spoon , and read to him in the afternoons . H",past,iterative,3rd,turn
"Coke down and did n't take another sip . Peighton!!!!!kept talking , but_ all I could think about was the hearing . Over and over I saw Bartleby nod to the guards like his only reason for being there was to meet them , foll",past,continuative,3rd,talk
"sh I had pockets to put my hands in . "" Why do you!!!!!keep calling me Lkswl_ "" Why can you talk ? I want to ask , but the hreath is sucked back into my lungs . I am afraid of the answer . Her arms are stick-thin , tipped with",present,iterative,2nd,call
"hirt was slick with blood . The cat was limp , but!!!!!kept opening its mouth_ . Alicia got in the car . "" Hurry , "" said Alicia . Walter took off as fast as common sense allowed . At the vet , Walter ran to open the door for Al",past,iterative,3rd,open
"ternoon , young fellow , "" he said . "" Hi . "" Alex!!!!!kept facing the river_ , expecting the man to pass by , but he did not . "" I saw you , "" the man said . "" I watched you , sitting here with your girl , talking . "" "" Listen",past,continuative,3rd,face
"e probably could . "" "" I really doubt that she 'll!!!!!keep writing it for_ much longer , "" said Sasha . "" I bet she 's already getting tired of it . "" The cabbie had pulled up to his him a ten and a five and motioned for him",future,continuative,3rd,write
"for about an hour . She chewed her bottom lip and!!!!!kept looking anywhere but_ at me , and I did n't know what she was thinking but could tell something was wrong . So I asked her what was wrong , and she said , "" Nothing , "" an",past,ambiguous,3rd,look
"e . "" So Kong , "" Mr. Vargas was saying , "" and he!!!!!keeps talking about me_ going out and him getting me an apartment , but I 'm not so sure . "" "" Well , of course , you are n't , "" Audra said sympathetically . "" You do n't w",present,iterative,3rd,talk
"ed her bottom and touched her breasts . The doctor!!!!!keeps bringing that up_ . He wants to know if it happened to her sisters . She says they never talk about such things . "" When 's the last time he touched you ? "" he asks .",present,iterative,3rd,bring up
"d on all life ' s most important questions. But we!!!!!kept watching , because_ my daughter , innocent of the culture wars , was enthralled . While I was feeling all jittery , psychic alarms ringing at every perceived attack on t",past,continuative,1st,watch
"action is thus inevitable . Might the process then!!!!!keep going until it_ enters a full-scale collapse ? To escape the Sun 's current grasp , an object must travel at 384 miles per second ( 618 kilometers per second ) . Cou",future,continuative,3rd,go
"ng of nude pictures was at the school . "" The boys!!!!!kept telling us ,_ It 's nothing unusual . It happens all the time , ' "" Lowe recalls . Every time someone they were interviewing mentioned another kid who might have n",past,iterative,3rd,tell
"medium where the creators have total control , we!!!!!keep getting the same_ damned world -- a world without mothers . Is this really the dearest wish of animation ? Can mothers really be so threatening ? TABLE I ' d like to e",present,iterative,1st,get
"with a police officer and in the back of my mind I!!!!!kept saying , I_ can ' t do this . a problem for me , and we eventually stopped dating. I must also deal with the public perception of my life versus who I really am",past,iterative,1st,say
"burning , and I ' m consumed with the challenge .!!!!!keep hitting greens ,_ missing putts and moving quickly until the par-3 15th. A cavernous bunker has waylaid the guy ahead of me . By rules , I have the right of way . If I",present,iterative,2nd,hit
"Repeat the exercise 10 times . For best results ,!!!!!keep varying the drill_ -- do it with a medicine ball , in bare feet , with a club . Forcing your body to respond to new feels and new environments will accelerate your impr",present,iterative,2nd,vary
here 's a good chance that passively run funds can!!!!!keep outperforming due to_ low fees . This article contains a table . Please see hardcopy of magazine or PDF. Five-Year Annualized Returns TABLE FUND CATEGORY ACTIVELY MANAGED,present,continuative,3rd,outperform
"but he never manages it . For weeks , his parents!!!!!kept bringing him butterfish_ , and he kept . On July 20 , Petey expired in front of a live audience . Puffin snuff . "" When he died , there was a huge outcry from viewers , "" Kre",past,iterative,3rd,bring
"ere spies , we 'd be out by now . Iran is going to!!!!!keep making demands for_ things like prisoner swaps , and the US will refuse . Iran wo n't be able to back down . So how will we get out ? "" The more I get to know Hamid , th",future,iterative,3rd,make
", he helped provide bread for a hungry world. "" To!!!!!keep doing that between_ now and 2050 , we ' ll need another green revolution . There are two competing visions of how it will happen . One is high-tech , with a heavy emphas",future,continuative,1st,do
"there 's talk that it could break $2,000. "" People!!!!!keep asking if I_ 'm going to cash out , now that I 've made my fortune , "" Ryan says . "" I tell em , Aye , are you kidding ? This is the greatest Easter egg hunt on E",present,iterative,3rd,ask
as safely achieved . ? Increased energy production!!!!!keeps pulling the price_ of oil downward . It is now lower than it was before the Iranian Revolution . This is good news for consumers and energy-intensive industries . It 's,present,iterative,3rd,pull
"son says of the federal government . "" They ca n't!!!!!keep relying on homeowners_ and municipal taxpayers to bear the brunt of these responsibilities . "" The Indian River school district in southern Delaware received no warning fro",present,continuative,3rd,rely
"cientists on the Coast . "" TABLE Meanwhile , Booth!!!!!kept scheming . In_ August of 1921 , he tried to exploit Daggett 's death by attempting to sell , through an intermediary named John Rowley , the skull of the "" Sunland",past,ambiguous,3rd,scheme
"ed using this because of the amazing smell , but I!!!!!kept using it because_ it helped my straight hair hold a wave for hours , which is quite the feat . "" -- Zo Ruderman , deputy style &amp; beauty director Smooth Sexy Hair S",past,iterative,1st,use
"lief from a clean report made women more likely to!!!!!keep getting screened ._ The lead author of that study , Anna Tosteson of the Dartmouth Institute for Health Policy and Clinical Practice , says she hopes that more understan",past,iterative,3rd,get screened
"ogether . "" Again and again , she says , the clues!!!!!keep hinting at life_ early in Earth 's history . And because MISS are made by such complex ecosystems , the structures appear in the fossil record . The ancient structure",present,iterative,3rd,hint
"ng from every pore . KEVIN of the race , it was to!!!!!keep putting one foot_ in front of the other . SAM &gt; Hende and I came screaming down the final descent and the inflatable finish arch came into view . Hende , in front ,",past,iterative,3rd,put
"p-you-on-your-toes Casablanca glades for the day ,!!!!!keep traversing east to_ Muleskinner , a classic , narrow twister in the New England tradition . WHERE : The Swig ' n ' Smelt , upstairs in the base lodge , has the best ski-",present,continuative,2nd,traverse
"learn more . Section : WHAT 'S NEW ? The hits just!!!!!keep coming at Nickelodeon_ -- whether it be the ongoing success of the SpongeBob SquarePants series , the revival of Teenage Mutant Ninja Turtles , the updated programing for t",present,iterative,3rd,come
"s personally to a coiffed woman with damp eyes who!!!!!kept murmuring "" my_ baby . "" He gave us a startlingly intimate glimpse of his upbringing . Instead of generalities and cliches about hard times , he delivered specific i",past,iterative,3rd,murmur
"s the CEO said , he was inclined to say no to . He!!!!!kept asking people ,_ "" Why should I do it ? "" These waigayas would occur . Really spontaneous , someone would jump in and say , "" Hey , I thought of another reason we sho",past,iterative,3rd,ask
"eny , who replaced La Russa in 2012 . "" I 'll just!!!!!keep talking about it_ because I believe it means that come in here every day and work like they work and have the talent level that they have and then believe in the proce",future,iterative,1st,talk
"re Sun . "" Everybody thinks it 's remarkable how I!!!!!keep getting batters out_ in my 40th year of pitching -- that 's right , 40 years of straight baseball , "" he went on . He had been happy to be hired by Kansas City , he said",present,iterative,1st,get
"She sounded terrible , "" Ms. Rees recalled . "" She!!!!!kept saying , '_ You have to get me out of here . I have to leave . ' But when I talked to the doctor , he said she was n't going anywhere . She could n't even stand",past,iterative,3rd,say
"ough to come back from it ? And keep coming back ,!!!!!keep getting up ._ This group of guys , they have that grit . "" Confident in his players Barnes bristles at the notion that his team is overachieving . The preseason pr",present,iterative,2nd,get up
"und , "" Lochte says . "" But then I realized I just!!!!!kept getting lost everywhere_ . I 'd be late for practice , get a call , and I 'd be like , ' I think I 'm in Georgia . ' "" He laughs . The swimmer still thinks of himself as the",past,iterative,1st,get lost
"hat of a kitten tackling a scratching post . If we!!!!!keep bumbling on like_ this , I have visions of an olive food fight along the lines of the Italian grape stomping skit from "" I Love Lucy . "" So my friends and I hang up ou",present,continuative,1st,bumble on
"e meantime , Gutierrez said she hopes that Gardner!!!!!keeps telling his and_ her story . "" It 's putting a face to an issue that is not going away , "" she said . Mark K. Matthews : 202 662 8907 , mmatthews@denverpost.com or tw",present,ambiguous,3rd,tell
"ches you in the face , how do you respond ? Do you!!!!!keep getting punched in_ the face or you going to try to do something about it ? "" Chancellor beat up the Broncos as a safety . Elway 's first offseason signing was the harde",present,iterative,2nd,get punched
"I think I 'll make it bigger if I can . And I 'll!!!!!keep running it as_ long as I need to . "" A new aid model using cash handouts As recently as 10 years ago , handing to most Western aid groups . Members of the public wh",future,continuative,1st,run
"hers present , the encounter became tense . "" They!!!!!kept saying , '_ Look , we have nothing to do with it ; it 's all the recalled . "" I said , ' Look , you are all coalition partners . ' "" At one point , Khan said , h",past,iterative,3rd,say
"ce than powder "" and because low temperatures will!!!!!keep refreezing the surface_ for several days . Icy or unshoveled sidewalks posed a particular problem in many places . "" There is no sensible way of clearing snow from sidewalks",future,iterative,3rd,refreeze
"er , somebody you can count on to work hard and to!!!!!keep getting better ._ Once he learns what it takes to be a pro - right now , he 's still a rookie with a lot to learn - I have no doubt that he 's a guy who can be All-Pro",present,ambiguous,3rd,get adj
"Great steaks are expensive . And they 're going to!!!!!keep getting even pricier_ because U.S. beef herds are at their lowest count since the 1950s , and the cattle are eating less corn , which also has become expensive , thanks to",future,ambiguous,3rd,get adj
"r said . "" She never told me what to do . She just!!!!!kept asking me questions_ , which is what my never gave me anything . He made me work for it and it was just starting the process of working toward building myself back . "" Wi",past,iterative,3rd,ask
"t came to me is , ' This is you in 10 years if you!!!!!keep drinking the way_ you 're drinking , ' "" she said . "" I did n't know how to get out of the web , how to stop the insanity and come to my senses . "" It was a third DUI",present,ambiguous,2nd,drink
"oud of this club , because what I see is guys that!!!!!keep doing this ,_ and fight all the way to the end that 's truly what our club 's been all season . "" The Cards ' lead would expand to 10-6 when Holliday walloped reli",present,ambiguous,3rd,do
"railroad overpass where the homeless men were , or!!!!!keep pushing down the_ center median , now only 2 feet wide . "" It 's quicker , "" Williams said about her choice to take the high road . That and she said police once stopp",present,continuative,3rd,push
"funding was reduced at that point , but automakers!!!!!kept going , Brouwer_ said . Regulatory pressures played a part , but the promise of hydrogen fuel cell technology was the driving force , he said . Automakers also have c",past,continuative,3rd,go
"vely , ' it was ' Hey let 's attack these guys and!!!!!keep poking them in_ the eye . ' It was adversarial from the outset . And I think it created an atmosphere where officers did n't want to put their best foot forward in c",present,iterative,1st,poke
"ut , that friend , Tammy Notley , 46 , of Austin ,!!!!!kept asking hospital staffers_ to allow her to visit Reyes on another floor . The answer always was no . Notley 's cancer had compromised her immune system , and "" they did n't wan",past,iterative,3rd,ask
"an MLB record for most players used . The Express!!!!!kept getting tapped ._ "" Round Rock was the only one of our clubs playoffs , and Double-A Frisco is really good . You 'll see a lot of those guys next year . "" Contact Kevi",past,iterative,3rd,get tapped
"? Brandon Weeden will kill this grade if he has to!!!!!keep playing . Texans_ , C+ : Ryan Fitzpatrick is n't bad at all , but obviously both Texas teams need to discover and develop a new QB . Running backs Cowboys , A+ : DeMar",present,continuative,3rd,play
"t , that Jeffrey was with Jesus . And then he just!!!!!kept telling me ,_ "" Be strong . I need you . I need you . "" How did Jeffrey die ? The first clue was in that 911 call from the Best Western . This just happened to us",past,iterative,3rd,tell
