text,Tense,Aktionsart (C/I),Subject Person,Ving
"Mr Pozsgay <kept rising . In> 1975 , at the peak of the conservative onslaught , he was appointed deputy minister of culture , and a year later was put in charge of the ministry . The Pozsgay era there was as unremarkable in Hungary 's cultural life as his tenure at the party review had been .",past,continuative,3rd,rise
"What are they on , I <kept asking myself ,> booze or cocaine ? It must be booze , I think .",past,iterative,1st,ask
`` You do not get a good spread of risk and it <kept putting the premiums> up . But we do expect to reintroduce a contract next year . '',past,iterative,3rd,put up
"We <kept spiralling up towards> a high point on the ridge , and when we reached it there was a lodge , perched improbably like a ski-lift station . Next to it was a bamboo out-building with a big sign saying : `` The Restaurant at the End of the Universe '' .",past,continuative,1st,spiral
"`` We can not <keep muddling along like> this forever . Everywhere Stalinism is being reformed and openly discussed , in Hungary , Poland , the Soviet Union .",present,continuative,1st,muddle
"`` They <keep saying , ``> Why are they doing this to us ? '' ' Another worker , who stood as a Conservative councillor , said she had encountered Mr Lawson at a reception last year and had been asked by the Chancellor why she had lost .",present,iterative,3rd,say
"I do , however , <keep giving the actors> directions which belong to a five-week rehearsal period and then have to tell them to forget what I 've just said . It is difficult , to remember that what we are presenting here is an entertaining rehearsed reading rather than a full-scale production . ''",present,iterative,1st,give
The script <kept sending out these> little signals ( 'It 's only when there 's land around that sea travel becomes really interesting' ) but it was possible to take them as evidence not of exhaustion but of apprehension about the project . The nerves extended to the visuals .,past,iterative,3rd,send out
"But experts warned computer users that Friday 13th viruses are only a tiny proportion of the 30 or so known types of virus which exist , and that they would be wise to <keep taking precautions .> According to Owen Keane , a barrister and computer expert , one way to prevent infection is to avoid copying programs and games from friends or electronic bulletin boards , as the virus can spread through infected floppy dics .",present,ambiguous,3rd,take
"He and [ name ] <kept exclaiming how stupid> the barrister was , yet [ name ] reminded him . PC .",past,iterative,3rd,exclaim
"Jock seemed out on his feet , his head <kept jerking forward and> his eyes were continually closing . I 'm sure if it was n't for the explosions close at hand he would have dropped off to sleep .",past,iterative,3rd,jerk
"Lovat had never mentioned anything about bodyguards , he just said , `` Get out in front there , Piper , and <keep playing your pipes> . '' This had been the routine during the landing at La Breche and the advance to the Orne bridges .",present,continuative,2nd,play
"He <kept meditating on the> highest ideals and professed weakness to do anything about those ideals . He observed naughtily , subtly , wittily , passively , on occasion with a feline caress .",past,iterative,3rd,meditate
Ramsey <kept refusing . This> contrast was pointed by William Temple . In July 1936 he gathered in his palace at Bishopthorpe a select team of ten for the purpose of preparing for the coming ecumenical conference .,past,iterative,3rd,refuse
"The thought that it might be right to be a monk <kept coming back .> His knowledge of the Anglican religious communities , such as it was , made him think that if he decided to try this out , Mirfield in Yorkshire would be the right place ; for at Mirfield many of the fathers had a vocation to teach , or to hear confessions .",past,iterative,3rd,come back
"She expected him to <keep looking over his> shoulder to make sure that all the fuss was not intended for the man behind . She was moved by his address : not so much by the declaration of the reformed and Catholic nature of the Church of England , nor by his condemnation of racialism , nor by his challenge to the State to give the Church more liberty to follow its vocation in worship ; but by his gratitude at the growing longing within the Church for a deeper life of prayer .",present,iterative,3rd,look
"If you are a great live act , they will <keep coming back and> so will the record companies . You should always keep the press up to date with what the band is doing and where you are playing .",future,iterative,3rd,come back
"I remember I <kept saying , ``> Is this it ? '' and my father said , `` No , a bit further . '' I loved my father , and he loved me .",past,iterative,1st,say
"I <kept wondering what it> had to do with the cowboy we were going to see on the screen . Similarly , I remember peering through the expanded grille they drew across the cinema entrance when it was closed .",past,ambiguous,1st,wonder
"The same shadow <kept covering the screen> at regular intervals . Shrinking into my seat I murmured , `` It has to be God . ''",past,iterative,3rd,cover
"His face grew puffy , his arms and legs swelled up , and his fingers turned into purple sausages so that he <kept dropping his darts> . They took him to the cider ward of the local hospital and a week later he was dead .",past,iterative,3rd,drop
"Taking only the period in which this book has been written , and limiting the location to the UK , there have been numerous similar press-provoked scandals in which the homosexual has <kept turning up where> he or she should not , especially at the `` respectable '' centre of things : in MI5 , the Houses of Parliament , as parliamentary candidate , schoolteacher , council employee , prison chaplain , vicar , guard to the Queen Mother , film star , circuit judge , to cite only some ( and some whose lives have been destroyed by homophobic media harassment ) . The same press represents homosexuals as the corrupters of public morals , of children , the family , and even the armed forces ; or as deviants conveying to other aliens ( their external counterpart ) the state 's innermost secrets .",past,iterative,3rd,turn up
"The dealer got more and more paranoid sitting there , noticing these two guys in the corner who <kept looking at a> bit of paper then at him , then having a bit of a conflab . He got so paranoid he decided to leg it .",past,iterative,3rd,look
"Every time I changed trains there was a posse of London Underground inspectors , so I had to <keep doubling back on> myself . It took me about three hours to get six stops .",past,iterative,1st,double back
"And Vivienne <kept telling me ,> I should have stayed on just for the grant . Which is what Mick Jones of The Clash did .",past,iterative,3rd,tell
"Maggie <kept catching her eye> with an expression of knowing amusement , but at the same time she obviously hated having these men stomping through her every possession and destroying any remaining magic in her secret chamber . Finally the men gave up , grudgingly admitted that the room was safe , and left muttering about `` freak accidents '' and `` acts of God '' .",past,iterative,3rd,catch
It is extremely important that you have an organisation structure that is clearly understood and then you should not <keep altering it .> That can be very destructive .,present,iterative,2nd,alter
"People <keep telling me hundreds> and thousands of them do n't want to work , but I never meet any of them . By definition , if there are hundreds and thousands of them , I must meet one or two of them as I go around , but I never do .",present,iterative,3rd,tell
"I find it galling that they seem to <keep looking for jam> today . We are not going to establish British companies across Europe , let alone across the world , if our monopolies legislation disallows mergers of major companies within one industry --- the only way they are going to be strong enough to do it .",present,iterative,3rd,look for
"The plants have got to <keep going , but> I think we can make working hours much more flexible . Laing would also like to see a fundamental reappraisal of the way unions operate .",present,continuative,3rd,go
"I <kept pushing the trolley> , praying to Jesus the bloody wheels would n't come loose . No one even looked at me or the trolley .",past,continuative,1st,push
He carried a pale bone which he <kept throwing out into> the dune for the terrier to retrieve . Without speaking he lifted his cap as they passed .,past,iterative,3rd,throw
Nathan hated them because they implied that he was terribly little and when you are terribly little you do n't want the world to <keep pointing it out> to you at every opportunity . He was really pleased when he graduated to the bigger ones .,present,iterative,3rd,point out
"But disenchantment set in because the outdated Merlin ( used for the Avro Tudor and Canadair Four ) clearly had little future , and the more rewarding prospect of a senior job on the new Dart engine ( destined for the Vickers Viscount ) <kept being thwarted by> delays to the project . Feeling frustrated , he took the offer , in 1951 , of a three-month posting to BRM , which was having trouble with the Rolls-Royce supercharger on its V16 engine .",past,iterative,3rd,be thwarted
"I noticed that my mother <kept asking my boyfriend> and my brother 's girlfriend to move further and further over until they were almost standing on their own . When I asked my mother what she was doing , she replied : `` I thought if nothing were to come of your relationships , I could cut them out of the photographs ! ''",past,iterative,3rd,ask
"<Keep surrounding surfaces clean> and clear up fast after a messy job with this practical polyethylene sheet . It provides an ample working area and has corner fasteners to lift the edges , and help to prevent spills .",MISTAG,MISTAG,MISTAG,MISTAG
"You just <keep floating off ,> '' she says . `` I 'm in my 30s now , '' she adds , `` and a lot of my friends are looking round and saying , `` Why do n't you have a family , a husband and a baby ? ''",present,iterative,2nd,float off
"The road was wet and I <kept telling him to> go slower . '' `` Your daughter was in the back seat , Mrs. Fanshawe ? ''",past,iterative,1st,tell
I <keep telling you .> Nora went back to Germany .,present,iterative,1st,tell
"`` I <keep breaking down ,> '' she said . `` I ca n't seem to stop myself . ''",present,iterative,1st,break down
She <keeps poking me in> the side with every step . `` Come on --- skip ! '',present,iterative,3rd,poke
"They do n't know any songs all the way through , and they <kept stopping . Petra> sings with them . She tries real hard , but she do n't really sing --- she sort of shouts .",past,iterative,3rd,stop
I 'll never be grown up if I <keep forgetting things .> Maybe Mr Jackson 's right --- I ca n't stay here on my own .,present,iterative,1st,forget
"I spect the man 's going away , cos they <keep hugging and kissing> like they do in films . I reckon that bloke 's pretty lucky .",present,iterative,3rd,hug/kiss
"I du n no what she 's talking about cos I ca n't hear through the glass , but she <keeps laughing at things> he says . She looks all warm and comfy in her clean clothes and that .",present,iterative,3rd,laugh
"She ai n't looking at it --- she 's carrying on talking to the man , but she <keeps twisting the neck> of this white duck . I want to shout out and stop her , but I ca n't get no sound out .",present,ambiguous,3rd,twist
Simon was in the back on his tartan rug and he <kept licking my suitcase> . I did n't know where I was going and I was scared .,past,iterative,3rd,lick
"I got my nose pressed against the glass and it <keeps steaming up with> my huff , so I wipe it with my fingers . I wish I was in there .",present,iterative,3rd,steam up
I wish this window would n't <keep getting steamy .> I rub it real hard .,present,iterative,3rd,get
"You have to <keep showing improvement ,> and not just in height but in technique . Your leg is still trailing when you go over the bar .",present,continuative,2nd,show
"`` Got to <keep drinking , ''> Bodo said . `` Look normal . ''",present,continuative,2nd,drink
Do n't <keep going on about> it . I 'm trying to talk to you . '',present,iterative,2nd,go on about
A researcher sent to report back to the Jane Goodall Institute <kept hearing of captive> chimps under sentence of death unless a place was found for them . It was the same story in the Congo and again in Zaire .,past,iterative,3rd,hear
I said : `` Hand on a minute --- you <keep talking about men> . How often do you prosecute women ? '',present,iterative,2nd,talk
"The trick is to <keep bringing in people> to view Balbirnie --- business clubs , individuals --- anyone . '' Balbirnie House",present,iterative,N/A,bring in
People who mix old and new oil or just <keep topping it up> are sacrificing the good oil for the bad . `` Also certain operators are seduced by the price of cheap oil .,present,iterative,3rd,top up
"The Princess of Wales is never <kept waiting . It> is simply not etiquette . Elaborate arrangements are made everywhere she goes , with split-second timing , to ensure that there are no embarrassing hold-ups .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"But she <keeps asking for you> . '' He sat looking at her , with the numbed conviction that she was dying .",present,iterative,3rd,ask
"There were complications that she did n't understand --- something to do with the fluid they <kept draining off ,> something arising out of the chronic empyema . The doctors were so evasive that it was impossible to get anything definite from them .",past,iterative,3rd,drain off
"My mum <kept telling me she> thought I was spending too much , but I 'd always tell lies about the price of things . `` I 'd already stretched my credit to the maximum when the bank gave me a cheque guarantee card that was also a credit card .",past,iterative,3rd,tell
"He pays tribute to his treatment at Gartree prison , he apologises to the bomb victims ' families that they have had to <keep reminding them of> their loss : `` But we had to fight for our freedom . '' Hill expresses the way time has cheated them : his daughter was born while he was remanded in custody , and is now 14 : `` She would change dramatically and I did n't feel a change in myself mentally .",present,iterative,3rd,remind
"And while ( at least in my personal experience ) men are more likely than women to stop buying such adornments when times are tough , gravy and similar substances will <keep going astray ,> creating a steady replacement market . It would be interesting to know how Mr Bishko 's shareholders feel about the future .",future,iterative,3rd,go
"Agents know they could face fines of up to ?400 for breaking the rules , but many <keep taking the risk> because they relish the free advertising . And they will never pass on the fact that owners could be liable to the same punishment .",present,iterative,3rd,take
"Right , Moxon , Metcalfe , Carrick , good old Arnie of course ... er , that stocky lad who does n't move his feet properly ... um , let me see now : um , oh yes , that fellow who <keeps getting backache ,> and then that off-breaker who ca n't turn it , and that so-called seamer with the funny hairstyle who just ca n't bowl at all ... B : For once , I agree with you there , Closey , old pal --- and do you know , the buggers do n't even practise , do n't even know how to practise .",present,iterative,3rd,get
The illusion of success was maintained only because the group 's high share price enabled it to buy companies on the cheap and so <keep pushing up total> profits and earnings per share . Now the illusion is well and truly shattered and the only reason the share price has not plunged much further than it has is the hope that some brave soul will put the group out of its misery with a takeover .,present,iterative,3rd,push up
"But it can be a bit dangerous if you 've had a few drinks , because you <keep pumping the thing> up and forgetting about it . '' At this stage in the evening I started to sweat .",present,iterative,2nd,pump up
"`` Otherwise , if they <keep coming in at> the same rate , Hong Kong will be totally swamped and will not be able to cope . We want to get people back in as orderly , humane and unstressed way as possible . ''",present,iterative,3rd,come in
Mr Gee said : `` Scientists <keep telling us that> the situation is far more urgent than politicians are admitting . We have 10 years to make the decisions which could save the planet .,present,iterative,3rd,tell
"We had to <keep going , not> let them see how we felt . '' But now the fight went out of the family : `` What would you do ?",past,continuative,1st,go
"After Barlow Clowes was granted its licence in 1985 , warning signs <kept reappearing . And> by summer 1987 --- still a year before Barlow Clowes was closed --- it was obvious that something was seriously wrong . The Stock Exchange investigated Barlow Clowes because the company wanted to become a stockbroker .",past,iterative,3rd,reappear
"A band like that survived because of the existence of indie labels that <kept going in the> Eighties even though many of their major acts like The Smiths , and now The Fall and Blue Aeroplanes , deserted them for the majors . The indies also have a role in picking up those that once recorded for a major label , like the Dutch singer , Mathilde Santing .",past,continuative,3rd,go
"Irma La Douce is lightweight entertainment , held down by the off hand commentary of Liz Spenz as the owner of the back street cafe where the plot <keeps boiling over .> Birmingham Gerald Larner .",present,iterative,3rd,boil over
"It was true that the chains ' capacity for negotiating good deals made it hard for the family-run business to <keep going , and> they had many letters offering businesses for sale , and the price of shops was coming down all the time . On the other hand specialists could thrive .",present,continuative,3rd,go
"The convicts became more and more upset , the guards were afraid , but they <kept getting orders from> above telling them to maintain these random violations of the equilibrium . Until eventually it broke --- and a prisoner stabbed two guards to death .",past,iterative,3rd,get
"David did n't think it was a good idea but I said we could n't <keep going out and> using the phone box down the road . `` I 'm telling you '' , he said , `` it 's not a good idea '' .",present,iterative,1st,go out
"And we <kept saying , ``> You have to pay for these things '' . He 'd say , `` Do n't worry , do n't worry about that .",past,iterative,1st,say
"The tour in Japan was over and David left --- he sailed for Vladivostok --- and finally , just to get rid of me as usual ( if you <keep making enough noise> they 'll get rid of you for a little peace and quiet ) they gave me a visa . At this point I had to fly and catch him up , so I flew to Khabarovsk in far east Siberia where I had to spend a night .",present,ambiguous,2nd,make
The party was the quietest you could imagine and they <kept complaining that we> were making too much noise . There was very little noise as no-one had arrived --- between twenty and thirty people were in the room --- and we had this teeny stereo system about as big as a transistor radio for music .,past,iterative,3rd,complain
"Despite the urgency of the summons , he had been <kept waiting in Stevenson> 's outer office long enough to read the early edition of the Evening Standard . On page four , as he had feared , was a bad picture of Tristram under the headline `` Singing star on US Drugs Charge '' .",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"Among a group of dolphins around the bows of a boat , certain individuals will be most attentive and <keep returning again and> again . Doak is quite sure that dolphins have varied personalities or behavioural traits , despite the uniformity of their bodies .",future,iterative,3rd,return
"When large quantities of oil are released after the break-up of a tanker , for example , sea birds appear to be more visibly affected than the smooth-skinned dolphins , possibly because cetaceans can choose to swim away from oil slicks , and do not have to <keep returning through slicks> to nesting sites on shore . The effects of oil pollution on marine mammals are more severe in colder waters , not only because of the much longer time required for the oil to break down , but also because concentrations of cetaceans and other marine mammals are often larger in polar waters .",present,iterative,3rd,return
"This is for two reasons : ( a ) state subsidies to farmers are harder to disguise than rigged prices , and therefore harder to <keep increasing ; so> even if the right reforms initially seem perverse --- requiring EC governments to spend more on farmers --- that will be only temporary . And ( b ) rigged prices lead to the dumped surpluses that distort world trade ; so the goal is to move the EC 's intervention prices down towards world-market ones --- down , as a minimum , towards what a truly efficient European farmer can survive on .",present,ambiguous,3rd,increase
"That is still a lot ; but , for a machine which cost more than $2 billion to build and launch , and which costs $250m a year to <keep running , it> is not enough . THE GULF WAR",PASSIVE,PASSIVE,PASSIVE,PASSIVE
"Shareholders , who know they will get peanuts if the firm is wound up , want the firm to <keep trading in the> hope that it will come good . Creditors , on the other hand , can be damaged every day that the firm trades without a rescue package .",present,ambiguous,3rd,trade
"So if prices after the war stay low , there will be a strong temptation to <keep using the stuff> as before --- even if America 's dependence on imports rises , as the forecasters predict , to 55% of oil consumption from today 's 42% . Two groups may act to stop such complacency .",future,continuative,3rd,use
"In effect , its tight-money policy is intended to bring about a shift in the domestic economy that might have happened in the early 1980s but which <kept being postponed .> The aim is to shift bits of the economy out of low-tech , inefficient manufacturing and cartelised , inefficient services , such as wholesale and retail distribution .",past,iterative,3rd,be postponed
"For the most part , the fast men were used in short bursts to conserve their strength and responded well to this ; but when the occasion demanded , as on the final day at Lord 's in 1963 , they could <keep going for hour> after hour just because the captain asked them to . Hall said afterwards that he had not realized himself capable of such sustained accurate bowling , but kept at it simply because Worrell wanted him to ; he also said that he was physically and mentally shattered at the end of it .",past,continuative,3rd,go
"Instead , he drove away in the , ran over a kerb , got a flat tyre and <kept going --- to> pick up Vicky Vanderford , whom he had flown in from California . Vanderford was the stripper he had lived with for three years in San Francisco , starting in 1980 , when he got out of jail .",past,continuative,3rd,go
"But Professor Avenarius was late , and I kept watching the woman ; she was alone at the pool , standing waist-deep in the water , and she <kept looking up at> the young lifeguard in sweatpants who was teaching her to swim . He was giving her orders : she was to hold on to the edge of the pool and breathe deeply in and out .",past,ambiguous,3rd,look up
"I do n't know how long she kept using it ( or more precisely , how long it <kept using her )> , but surely up to the day when she noticed her sister , younger by eight years , tossing up her arm while saying good-bye to a girlfriend . When she saw her gesture performed by a sister who had been admiring and imitating her from earliest childhood , she felt a certain unease : the adult gesture did not fit an eleven-year-old child .",past,iterative,3rd,use
I was on time but <kept waiting for a> few minutes so that the assembled Health Authority Chairmen and administrators could pass a motion condemning the Government 's offer as divisive . It is at least worth a footnote to any textbook on handling disputes that few employers have to contend with their management arm solemnly sitting down and condemning the negotiating strategy and then publicly relating their views to the press .,past,continuative,1st,wait
Philip knew he was looking at him but Philip <kept looking down .> He 'd made a regular spaghetti junction of his potato .,past,continuative,3rd,look down
`` She <kept going on about> the fox and coughing . '' Philip shone the torch round the clearing .,past,ambiguous,3rd,go on about
I ca n't <keep going over there> . '' The phone rang .,present,iterative,1st,go over
"He <kept asking her to> ring whenever she was in London --- she lived in Brighton --- so that they could get together . Yet he showed a certain reluctance to touch her , just giving her a few social kisses , one or two , on meeting or parting .",past,iterative,3rd,ask
He <kept pulling his own> and Viola 's photographs from his pocket to check details . He always carried both photographs next to his heart .,past,iterative,3rd,pull
That bloke who <keeps pulling his double> set of teeth out had pinched the lot . If I had n't put that frock on the lady --- she 's my girlfriend by the way --- I 'd have had to give her blue nipples .,present,iterative,3rd,pull
He could n't <keep pretending that Viola> and Eleanor were the same person because Viola 's photo was signed . Yet they were alike : Viola was a shade darker in skin and hair but the features were similar enough for there to be little difference between the two women in a picture .,present,continuative,3rd,pretend
Dot <kept expecting Mrs Hollidaye> to ask her to come down and stay . Why did n't she ?,past,iterative,3rd,expect
"We had to <keep drawing apart as> occasional couples , and sometimes prowling single men , passed nearby . We were conscious of the insecurity of our situation .",past,iterative,1st,draw apart
