KEEP VING TRASH TRASH2
keep coming up with
kept screaming if anybody
keep digging in and
keep covering this story
kept saying , Daddy
keeps saying no harm
keep talking past each
kept asking him for
kept asking him for
keeps defying Gravity with
kept going . And
keep saying that but
keep talking -- you
kept waiting for some
kept looking and when
kept going , and
keep exploding every year
keep getting help .
keep putting that picture
Keep working on that
kept going back to
keep speaking about unexpected
keep attracting the best
kept letting us down
keeps playing that game
keep punishing the American
kept saying the same
keep reminding you what
keeps going back and
keep coming back to
keeps going . More
kept saying the same
keep talking about those
keep propping the economy
keep raising her voice
keep unlocking . Yes
keep landing him in
kept spitting up as
keep talking about ,
keep talking about this
kept asking the same
kept talking and the
keep doing that ,
keep hearing this over
keep talking about --
keep saying that they
keep raising this in
keep going the path
keep making them ,
keep arguing through the
keep conducting its business
keep going all-in on
kept telling us that
kept telling me and
keep putting campaign officials
keep creating Taliban military
keep asking yourself ,
keep saying that .
keeps going . You
keep running these deficits
keeps talking about this
keeps telling me that
keep saying that ?
keeps getting grimmer and
kept getting larger .
keeps changing its story
keeps saying how they
kept using the word
kept thinking how hilarious
keeps asking Republicans for
keep relying on those
keeps talking about who
keep coming back to
keep doing everything in
keep getting more and
keep going out there
keep throwing this --
keeps saying and other
keep dragging us over
keep seeing your doctor
kept saying -- Jesse
keeps going over there
keep trying . You
keep focusing on Obamacare
keep telling everyone that
keep showing pictures of
keep raising the debt
keep talking just --
keep saying -- I
kept getting richer ,
keep going . But
keeps kicking them so
keep hoping for immigration
keep bankrolling your groovy
kept going . So
keep speaking about issues
keep doing it .
kept doing it .
keep believing that you
keep going among these
keep doing whatever it
keep working on ,
keep giving them what
keep doing what they
keep saying in both
keep hearing the phrase
keep doing this .
keep waiting for the
kept doing 10 percent
keeps saying like ,
keep looking at our
keeps popping into my
kept going out and
keep holding on to
keep putting federal money
keep comparing . And
kept cataloguing everything he
keep doing their jobs
keep putting Stacy on
keeps talking about us
keeps rising as the
keep moving it along
keep going . And
keep saying it back
Keep going . :
keeps insisting . He
keep telling the .
kept looking at his
kept looking at his
keep reminding them ,
keep asking me that
keeps getting deeper and
keep humming a tune
keeps poking me .
keep saying our name
keep reminding everybody that
keep hearing so much
keep doing whatever it
keep checking out books
keep watching it .
kept talking about his
kept plugging . I
kept yelling at him
kept getting the same
keep going . They
keep going . And
keep going . It
keep going . I
keep trying . David
keep going . I
keep trying . That
keep asking questions about
keep coming at them
keep coming back at
keep working on it
keeps getting bigger and
keep dragging out ,
keep giving into the
keeps telling us we
keep beefing up its
kept featuring bigger and
keep doing the same
keep cutting down the
kept pushing for the
keep being reminded ,
keeps giving ? People
keeps giving ? What
keep careening from manufactured
keep hearing this sort
keeps making more and
kept looking for Christopher
keep going this way
kept saying , oh
keep giving them Swonk
keep blowing up protons
keep hearing more and
kept sifting the crime
keep going forward .
keeps getting smaller and
keep looking for anyone
keep looking for direct
keep looking at this
keep talking about .
keeps giving ? What
kept using the words
kept reauthorizing the law
kept piling on other
keeps getting kicked down
keep saying that .
keep moving the number
keep injecting a brain
keep going and just
keep taking a hit
keeps inventing new ways
keep coming up .
keep rising the debt
keep ignoring the problem
keep raising it .
keep rising the cost
keep having these crises
keep focusing on the
keep giving kids a
keep bringing yours out
keep revisiting . Ahead
keep moving around .
keep talking about 47
keep adding on to
keep going over to
keep making up new
keep throwing these numbers
keep talking about the
keep using these biased
keep hearing these rumors
keep comparing ObamaCare to
kept going down ,
kept saying , "
keep turning it up
keeps popping up on
keep going earlier and
keep saying that Obamacare
keep pouring the oil
keep touting this prescription
keep talking about her
keep looking for the
keep going . What
keep doing that over
keep saying " yes
keep looking " (
keep increasing the empire
kept insisting , fearful
kept saying , but
kept surfacing during various
keep goin ' personally
kept pushing me to
keep coming out ,
keeps calling my name
keep messing with police
kept plugging holes until
kept raising her fingers
keep doing what we
keep pushing vendors to
keep working for it
keep distracting myself from
kept waking up and
kept requesting the injections
kept providing them .
kept seeing lights on
kept getting deferred by
keeps getting better and
keep trying . If
keep accumulating massive quantities
keep yelling that technology
keep requesting that double
keep banging the drum
keep pushing organisations to
keep trying , and
kept doing it .
keep massaging my calf
kept asking me questions
keep forgetting that I
kept setting off colorful
kept falling for it
kept getting better-looking ,
kept coming . Parallel
kept coming . The
keep asking me that
kept reminding herself that
kept tapping on the
keep pushing them hard
kept looking at Trinh.
kept expecting him to
kept putting a little
Keep telling yourself your
keep believing those lies
kept un-remembering it .
kept monitoring my body
keep flirting with the
keep seeing your name
keep telling me it
kept telling her .
kept moving forward .
kept coming fast ,
keep asking me that
kept looking at us
kept saying . Highly
keep sending Jimmy messages
keep playing . Sometimes
keep playing till it
kept talking but he
kept reporting the housing
kept forcing a smile
keep smelling a man
kept crying out as
kept calling it ,
keep taking it slow
keep calling me that
keep thinking the information
kept caressing the protrusion
keep trying . "
kept asking myself how
kept playing in my
keep looking . "
kept coming in and
keep trying . Verdell
kept suggesting an update
Keep telling yourself that
keep growing your magic
kept moving . When
kept going , even
keep going , and
keep getting out here
kept twirling her hair
kept putting off the
kept talking . Nina
kept going straight back
keep sipping her beer
keeps blowing your shit
kept going . Her
kept starting over and
keep going . I
keep carrying that phone
keep arriving , and
kept looking for the
keeps staring at the
kept glancing guy 's
keep cropping up with
kept bumping the good
keep looking . "
kept leading me along
kept looking back at
keep looking out there
kept walking the beat
kept forgetting what he
kept going . There
keep going until he
keep saying neuromorphic artificial
kept looking back as
kept telling her silly
kept forgetting the answers
kept going , briefly
kept coming in at
keep going for at
kept staring at me
keep watching him .
kept pointing at the
keep going the way
keep falling into a
keep doing it no
kept going , day
kept poking up through
keep telling you .
kept dripping on him
kept repeating it .
kept pushing , and
kept telling himself that
kept having no matter
kept experiencing a kind
kept picking up more
kept looking around ,
keep telling me ,
keep going . We
kept standing there ,
keep telling them its
keep telling me about
keep coming back though
keep speaking them forever
keeps spitting his ass
kept coming back to
keep getting postcards saying
kept talking . "
kept popping up .
kept glimpsing out of
kept staring at her
kept braking for animals
keep looking while she
kept staring , dumb
kept pricking his fingers
keeps filling up and
Keep trying : your
kept expecting those people
kept staring at the
kept staring until I
kept saying , '
kept seeing too much
kept using extremely cheap
keep going -- it
keeps saying what a
keep going -- to
kept seeing a little
keep showing up .
kept knocking steady .
Keep talking like that
keep showing up .
kept looking at me
kept pouring out ,
kept looking . She
kept going , six
kept calling her "
Keep moving forward ,
keep pushing back the
keep ing up w
keeps going , and
keep working at the
Keep stepping . "
keeps asking when I
kept telling the boys
kept pulling the zipper
kept hoping his wife
kept calling unusual names
kept fingering the tackle
kept coming into his
keep finding more .
keep going . It
keep going . But
kept biting deeper and
kept welling up from
kept saying . '
kept saying -- he
kept telling her how
kept calling from the
kept wondering if Ruthie
kept coming up to
kept asking her to
kept seeing her out
kept looking nonetheless ,
Keep going , "
kept playing . Kostas
kept getting worse .
kept wondering if she
kept thinking it over
Keep kissing her ,
keep working hard in
keep doing it ?
kept saying them together
keep moving the goods
kept smelling her scent
kept offering him things
kept giving him ,
kept looking round to
kept answering him as
kept getting started anyway
kept reminding her of
kept moving along the
kept accusing me of
kept saying , "
kept checking with all
keep coming back w
kept saying , "
kept wringing her hands
keep praying for you
keep doing it .
kept telling him not
kept saying how fortunate
kept moving toward the
keep ing something at
keep wanting it ,
keep pushing . Now
keep pushing . "
keep looking . "
kept saying , '
keep staring at me
keep making things worse
keeps asking the girl
keeps wiping at her
keep poking their heads
kept watching him and
keep going . But
kept asking for old
kept chewing her thumb
kept going . She
keep looking at him
kept sucking the smoke
keep putting it off
kept talking . The
Keep going , "
kept rolling out the
kept noticing Simon 's
kept working on the
kept walking in and
kept coming out and
kept drying her gleaming
keeps asking why she
keep doing this until
kept working . He
kept stabbing him .
keep going till I
kept getting better .
kept reminding me )
keep growing an active
keep banging your head
kept touching the bezel
kept looking from one
keep trying , "
kept going . "
kept improving my program
kept going . "
kept examining his shoes
kept taking deep breaths
kept playing the rest
kept going . He
keeps smelling honey .
keeps smelling milk .
kept saying , and
kept repeating over and
kept coaxing her back
kept asking questions to
kept answering No comment
kept piling one lie
kept working in the
kept wondering . Why
keep looking after him
kept asking me what
kept sitting there stupidly
kept going in his
kept changing all the
kept going , desperate
keeps assigning points around
keep reading them .
keep reviewing books such
keeps talking about the
keeps drinking the hot
keeps interrupting him self
keeps yelling at people
keep forgetting how small
keeps skipping ahead to
Keep making choices .
Keep doing the best
Keep being honest .
keep nagging their parent
kept looking at her
kept ringing the bell
keeps going while the
kept glancing at Mindy
keep looking ! "
keep going north and
keep circling through my
kept imagining the worst
keep playing that piano
keep buying it .
keeps wiping the plate
keep pulling at that
kept saying as St.
kept getting pregnant .
Keeps chewing on herself
keeps telling me that
keep peeping open ,
kept looking at me
keep seeing the woman
keep working for someone
kept whispering until the
kept throwing glances in
kept wandering in .
kept saying , "
kept watching my hands
kept getting better I
kept telling me at
keep underlining with your
kept calling the owner
keeps hurting your babies
kept getting in the
kept going . He
keep studying . She
keep talking about yourself
keep telling you to
kept moving along beside
keep dragging her .
kept going . "
kept running his hands
keep turning him in
kept searching me for
kept talking , and
keep asking administration for
keep digging up the
kept pointing at the
kept arriving with more
kept going the countryside
kept asking me what
kept asking me to
kept staring . She
keep looking , though
kept bucking against him
kept waking her up
kept going up onto
kept overturning ; Vladimir
kept overturning , he
kept righting it .
kept looking at his
kept peering at her
keeps catching the comer
keeps getting thicker and
kept twirling that daisy
keep giving him water
kept talking , but
kept working . And
keep circling closer ,
keep calling me Lkswl
keeps circling back ,
keep coming back to
kept opening its mouth
kept reading the same
kept going on about
keeps beating its way
Kept looking back at
kept quoting me chapter
kept going , but
keep feeding them ,
kept making mistakes ,
kept telling me ,
keep expecting her to
kept facing the river
kept staring out at
kept saying . "
keep bringing us food
kept listening harder and
Keep going . Hawaii
kept mulling over Aunt
keep watching the skies
keep blasting until the
kept steering the conversation
kept losing his boots
kept staring at the
kept staring at the
kept slipping its track
kept kissing her until
keep telling you people
kept reminding myself that
kept talking over him
kept looking over my
kept getting knocked down
keep going until she
keep coming back because
kept looking at the
kept expecting him to
kept arguing because what
kept asking for more
keeps going . "
kept waiting for things
keep going . I
keep looking for a
keep reminding you of
keeps going , further
kept telling himself that
kept saying . Jug
kept looking at The
keep coming across those
kept staring at these
kept fantasizing about poodles
Keep doing what you
keep upping the danger
keep seeing previews for
kept glancing at her
keep writing it for
keep wearing them ,
kept looking anywhere but
kept entering his mind
kept scanning his shelves
kept watching the words
keep asking questions in
keep darting their eyes
kept leaving him places
kept looking both ways
keep repeating it .
keep pointing out .
keeps calling me up
keep getting closer ,
keep fanning the flame
kept telling myself :
keep brushing your teeth
keeps asking me if
keeps talking about me
kept telling me not
keeps bringing that up
kept looking up at
keep telling myself to
Keep going . "
Keep going . "
kept going . Chrysanthemum
kept asking us to
keep using the apartment
kept looking toward the
kept saying . "
kept reaching over to
kept backing up ,
kept saying as she
kept bearing children ,
kept waiting for officials
kept nodding my head
kept turning around to
kept pulling it away
kept saying . "
kept crying out to
keeps getting worse .
keep raising the bar
keep searching for a
keeps telling us ,
kept watching , because
keep praying for your
keep offering a brave
keep calling me back
keep going until it
keep going " smaller
keep going , and
kept venturing closer ,
keep orbiting just as
keeps getting better .
kept looking , and
keeps revealing how much
keep selling new hits
keeps getting fatter. repetitiveness
keep telling us to
kept getting texts from
kept telling us ,
kept singing a song
keeps getting worse ,
kept denying that it
keep repeating the same
keep pushing life expectancy
keep reaching out ,
keep reaching everybody else.
keep doing new things
kept asking me ,
keep getting the same
kept serving a creative
kept coming back to
keep putting your foot
keeps getting interrupted to
keep doing this and
kept going from show
keep going . JON
keep going forward .
keep doing this .
kept working . And
kept telling him that
keep picking cotton ,
keeps wondering aloud how
keeps getting picked off
keep biting it ?
kept coming back to
keep going wrong until
keep going wrong ,
keep reassuring her :
kept drinking his liquor
keep playing , and
kept forgetting the final
kept rolling on ,
keep waiting for Warren
kept telling her .
keep rekindling the spark
keep rolling around .
kept broadening her skill
kept giving us eternal
keep looking . '
kept saying , I
keep pushing for our
kept locking up even
kept asking myself that
keep being created ,
keep discussing and writing
keep teaching some futures
keep getting bigger ,
keep going on the
keep spilling from his
keep swinging your arms
Keep working with the
keeps going . "
keep playing . '
keep teaching him for
keep going . I
keep applying the sunscreen
keep going back to
keep supporting me .
keep hitting greens ,
keep working hard and
keep varying the drill
kept taking pills --
keep doubling the size
keep making withdrawals without
kept coming . On
keep popping up ,
keep looking at the
keeps hitting new highs
keep paying off ,
keep trying . "
keep rolling the dice
keep telling myself one
keep working in the
keep outperforming due to
keep making contributions ,
keep working at your
keep Raising the pH
keep seeing references in
keeps getting better .
kept using it ,
kept pushing . me
kept messing around with
kept calling her ex-boyfriend
kept asking like it
keeps tossing his head
kept bringing him butterfish
kept going in a
keep trying until they
keep making demands for
keep going in the
keep going . "
keep going up .
kept thinking how unlikely
keep smoldering in Svaneti
keep doing that between
kept getting stuck in
keep asking if I
keeps pulling the price
keep assuring us never
kept getting stricter ,
keep telling the truth
keeps holding the girl
keep helping him ;
keep relying on homeowners
kept making their case
kept telling the muddled
kept doubling down on
keeps searching for an
kept scheming . In
keep flying the flag
keeps cycling back on
kept saying , "
kept slowing down just
kept using the word
keep getting the margins
keep doing what you
keep doing it .
keeps falling apart ,
keeps getting better ,
kept getting stuck --
keeps getting better Microsoft
keep doing so for
kept pitching himself ,
keep lying about it
kept luring me in.
keep telling the doctor
kept telling her ,
keep saying " fun
keep supporting each other
KEEPS CHURNING OUT FASHION
kept getting my nails
kept using it because
kept figuring out ways
keeps going with the
keep going . "
kept looking at her
keep putting in fuel
keep getting better A
keep moving with congested
keep going . A
keep spinning forward ,
Keep turning the dial
kept buying the long
keeps piling up :
kept getting deeper and
keeps getting better over
keeps sending my eyes
keep going if it
keep needing more of
kept getting tangled in
keep exercising , you
keep rejuvenating the body
keeps accumulating while politicians
Keep moving in comfort
keep looking their best
kept coming into his
keep going this way
kept doing it .
keep fooling around with
keep creating new fans
keep getting screened .
keep using it .
keep using the standard
keep hinting at life
keep hinting at life
keep making new stars
kept gaining on us
keep putting one foot
keep coming up with
keep finding untracked .
keeps refilling . Even
keep traversing east to
keeps getting better .
keeps stretching the distance
kept saying . "
keep moving on the
keep doing that ?
keep churning out more
keeps flushing through to
keep insisting . Mary
keep going back to
keep reminding a person
keep putting this in
keep working with it
keeps tugging at her
keep doing moral education
keep winning in perspective
keep recreating yourself .
keep trying , and
keep looking . Again
keep seeking physical encounters
keep going . They
kept going . Then
keep coming at Nickelodeon
keeps sticking up its
kept bouncing around .
keep raping me .
keep doing it until
kept asking you to
kept getting annoyed .
kept exclaiming in amazement
kept bumping into each
keep paying for his
kept telling me I
kept making a joke
kept saying , and
kept calling Brooks "
keep piling on .
keep growing the way
keep putting politics ahead
kept murmuring " my
kept asking people ,
keep putting a Band-Aid
keeps dropping . In
keeps circling back to
kept looking at me
keep telling myself that
kept screaming as the
keeps coming back .
keep going back to
keep talking about it
keep singing along even
keep saying it ,
keep doing this and
kept honoring the swaps
kept giving me media
keep filing more and
keeps lashing away at
keep looking for a
keeps lapping another runner
kept coming forward and
keep plowing on in
keep making us happy
keep making you rich
keep saying the recall
keep proving them wrong
kept chugging along .
kept picking at his
kept forcing Berdych to
kept assaulting until the
keeps getting bigger ,
keep pushing themselves to
keep getting batters out
Keep going , Laney
kept saying , '
keep looking at Pete
keep doing the same
keep plugging away ,
keep looking into the
keep taking swipes to
kept looking around ,
keep asking him ,
keep coming up .
keeps getting grayer ,
kept asking her ,
keep entering races ,
kept looking at my
keep doing this .
kept winning . After
keep getting from Dan
keep going up and
keep bringing me back
kept getting calls to
keep putting pieces in
keeps spinning his wheels
keep coming back ,
keep getting up .
keeps getting higher .
keep squeezing the middle
kept looking for the
keeps calling for funds
keep watching , '
keeps getting refreshed with
keep doing things on
keep doing this as
keep checking up on
keeps hitting into --
kept striking out .
keep complaining . "
kept making one birdie
kept getting lost everywhere
keeps giving him problems
keep playing this game
keeps going on ,
keeps coming back to
kept fighting back "
keeps getting better .
keeps pitching insurance .
keep repeating it .
keep calling it that
keep bumbling on like
keep watching , maybe
keep going up .
keep adding around the
keeps giving whether you
keep prescribing the drug
kept working in the
keep telling myself .
keep telling everybody ,
keep staring at it
keep going . "
keep going . It
keep persisting with the
keep playing after a
keep going . "
keep foraging forward .
kept going . "
kept getting rebounded and
keeps telling his and
keep getting punched in
keep running the thing
kept playing ( well
keep putting up fancy
Keep lifting your legs
keeps getting lost .
keeps getting lost .
keeps getting lost .
kept searching for a
keeps walking the bike
keep running it as
keep demonstrating . "
keep focusing on the
keep retraining them ,
keep coming up .
keeps going on .
keep thinking back to
kept moving forward by
keep pushing for information
kept moving toward Hermosillo
kept saying , '
keep going . "
keep trying . "
keep slapping him ?
kept blowing snow back
keep refreezing the surface
keep reminiscing about the
keep showing up ,
keep pushing people out
kept putting us in
keeps tapping his pipeline
keep plugging away ,
kept checking with the
kept checking with the
keeps turning down chances
keep getting better under
keep moving forward and
keep getting better .
kept plugging along ,
keep taking away from
Keep moving on ,
keep doing what I
keep going without freezing
keep repeating the same
keep doing it .
keeps getting reset .
keep doing what we
keep getting even pricier
kept moving forward and
kept asking me questions
keep drinking the way
keep going , "
keep watching once the
keep selling the same
kept going , through
kept playing . Not
KEEP PERFORMING The pressure
keep playing because I
keep getting richer !
kept pulling on my
keeps claiming that he
kept pelting the streets
keep going . It
keep working hard and
keep doing this ,
kept chipping away at
keep doing this ,
keep doing the work
keep making the saves
keep sticking around and
keep plugging away ,
keep correcting them ?
keep pushing down the
keep doing it .
keeps catching a lot
keep reinventing ourselves ,
keep going . "
keep looking . We
keep going . "
kept popping up ,
keep cropping up with
keep telling my employees
keep telling myself to
keep going and you
keeps playing this well
kept coming at me
keep going , "
kept talking about a
kept going , Brouwer
keep making electric and
keep playing abroad for
keep driving down the
keep focusing on programs
keep doing it the
keep doing what we
keep coming back because
kept coming back to
kept using it as
keep poking them in
kept scratching their heads
kept pushing through the
keep doing this .
keep doing new projects
kept taking the approach
kept asking hospital staffers
kept telling Kim 's
kept doing it anyway
kept getting bad matches
keep giving us the
kept coming up ,
kept moving north to
keep dialing with the
kept getting tapped .
keep spending the way
kept turning me down
kept getting orders wrong
keep playing . Texans
kept getting lowered and
kept telling me ,
kept bothering us about
kept saying the Academy
kept telling me that
kept hearing the noise
keep blaming everybody else
keep testing the ocean
keeps screwing up .
keeps coming up .
keep saying it ,
kept saying that ,
kept coming back ,
kept giving me medicines
kept giving me medication
kept giving me things
keep cheating on her
keep moving forward ,
keep going . And
kept calling ... This
kept calling ... This
kept talking about this
kept having problems with
keeps telling everybody Abrahams
kept turning over his
keep going . They
keep forcing this to
keep talking about .
keep talking about it
keep talking about this
keep pushing on this
keep working on it
keep insisting , no
keep going ? If
keep going at this
keeps going . And
kept saying that I
keep talking about those
keep going . I
keeps getting worse ?
keep freaking out .
Keep going . Thanks
keeps screwing up .
kept texting him and
kept calling him and
keep telling myself ,
kept looking for answers
kept going like this
kept going like this
kept paying that .
kept telling me that
kept hearing the noise
keep playing until we
keep having flashbacks of
keep treating this like
keep coming up with
keep bringing this amazing
keep coming back to
kept waiting and Kay
keep saying that to
keep saying the same
kept going . She
kept telling me stuff
keeps calling her back
keep coming out ,
keep making stuff up
kept coming in and
keeps dealing with it
keep learning it .
keep picking out on
keep doing the thing
keep going . But
keep going again .
keep coming down ?
keep changing the law
keeps getting in trouble
keeps doing if this
Keep going until you
keeps getting stuck .
keep wearing those .
keep going for that
keeps coming up for
kept getting worse from
kept coming . Chad
kept getting worse and
keep rolling up .
Keep talking so that--
Keep making Muppet movies
keep pointing at me
keep holding it .
kept saying , I
kept telling himself she
kept feeling the love
kept telling her ,
kept saying , "
kept saying , "
kept replaying that part
kept feeling the love
keep sending in those
keep doing this every
kept looking at the
kept trying . I
keeps asking me that
kept focusing on his
keeps spitting it out
keep showing the bloody
Keep going , Mo'Ne.
keep proving everybody ,
keep watching . Yeah
kept thinking oh ,
kept telling her ,
kept going back to
keep doing it .
kept telling the guy
kept talking away .
kept answering them .
keep trying . Emotions
keep doing it and
keep getting better ,
keep doing what you
keep wearing heels .
Keep going . AL
keep playing and then--
keeps doing it over
keep raising the debt
keep going back to
kept thinking just how
keep fighting back against
keeps hitting the window
keeps hitting the roof
keeps coming out in
keeps coming back to
kept grinding away .
kept making inquiries over
kept trying , until
keep looking . I
kept dodging Allen .
keep talking about off
keeps saying pray for
keeps telling everyone who
kept changing his story
kept repeating the same
keep cropping up .
keeps talking about increased
keep forgetting . And
keep being in the
keep learning about in
kept saying about Shinseki
keep getting better with
kept saying , oh
kept going over the
keep playing this game
keep discussing the Republican
keep sending their children
kept repeating the border
keep throwing money and
kept telling me that
kept saying , who
keep pushing on the
keep pushing on the
keep going . Decades
keeps pulling her back
keeps popping up .
kept coming back to
kept happening over and
kept saying " apparently
kept grinding away .
kept going . But
kept making inquiries over
kept trying , until
